Time,Nakivale,comparison
0,0,0
1,0,186
2,0,373
3,1,560
4,2,747
5,2,934
6,4,1120
7,8,1307
8,9,1494
9,10,1681
10,15,1868
11,20,2055
12,27,2241
13,33,2428
14,44,2615
15,55,2802
16,64,2989
17,79,3175
18,90,3362
19,101,3549
20,116,3736
21,129,3923
22,143,4110
23,162,4296
24,185,4483
25,202,4670
26,231,4857
27,250,5044
28,272,5230
29,290,5417
30,309,5604
31,332,5791
32,346,5978
33,376,6165
34,410,6351
35,435,6538
36,470,6725
37,496,6912
38,511,7099
39,551,7285
40,582,7472
41,615,7659
42,657,7846
43,699,8033
44,729,8220
45,749,8304
46,786,8389
47,816,8474
48,836,8559
49,871,8627
50,903,8695
51,938,8764
52,976,8832
53,1009,8901
54,1045,8969
55,1077,9038
56,1109,9070
57,1148,9103
58,1190,9135
59,1225,9168
60,1275,9201
61,1315,9232
62,1352,9264
63,1392,9296
64,1434,9328
65,1477,9360
66,1510,9392
67,1552,9424
68,1595,9456
69,1634,9488
70,1677,9555
71,1719,9623
72,1760,9691
73,1792,9759
74,1821,9827
75,1872,9895
76,1929,9963
77,1982,10030
78,2024,10098
79,2071,10166
80,2129,10234
81,2177,10302
82,2199,10370
83,2262,10438
84,2289,10444
85,2330,10450
86,2371,10456
87,2424,10462
88,2471,10468
89,2519,10474
90,2585,10480
91,2629,10489
92,2671,10498
93,2716,10507
94,2755,10516
95,2795,10525
96,2825,10535
97,2870,10527
98,2930,10519
99,2973,10511
100,3006,10504
101,3048,10496
102,3098,10488
103,3155,10481
104,3216,10473
105,3274,10465
106,3334,10458
107,3364,10450
108,3419,10442
109,3476,10435
110,3518,10432
111,3588,10430
112,3627,10428
113,3668,10426
114,3720,10424
115,3770,10422
116,3815,10420
117,3875,10441
118,3912,10462
119,3975,10483
120,4021,10504
121,4069,10525
122,4122,10546
123,4172,10567
124,4217,10588
125,4263,10610
126,4305,10618
127,4375,10626
128,4424,10634
129,4468,10642
130,4526,10650
131,4571,10658
132,4614,10666
133,4665,10674
134,4705,10682
135,4755,10690
136,4801,10698
137,4852,10706
138,4915,10734
139,4965,10763
140,5008,10792
141,5072,10820
142,5126,10849
143,5168,10878
144,5231,10907
145,5273,10929
146,5315,10952
147,5338,10974
148,5397,10997
149,5454,11019
150,5484,11042
151,5526,11064
152,5568,11087
153,5611,11110
154,5675,11149
155,5706,11189
156,5771,11229
157,5805,11269
158,5842,11309
159,5893,11325
160,5954,11342
161,5996,11359
162,6039,11376
163,6098,11393
164,6123,11410
165,6174,11427
166,6213,11456
167,6276,11486
168,6316,11516
169,6350,11546
170,6398,11576
171,6444,11606
172,6475,11636
173,6501,11665
174,6549,11695
175,6598,11725
176,6645,11755
177,6706,11785
178,6747,11815
179,6792,11845
180,6808,11851
181,6854,11858
182,6899,11864
183,6962,11871
184,7004,11877
185,7052,11884
186,7092,11891
187,7156,11913
188,7204,11936
189,7246,11959
190,7290,11982
191,7312,12005
192,7344,12028
193,7386,12051
194,7426,12081
195,7466,12112
196,7507,12142
197,7561,12173
198,7628,12203
199,7677,12234
200,7723,12265
201,7758,12303
202,7789,12341
203,7828,12379
204,7859,12417
205,7887,12455
206,7915,12493
207,7958,12531
208,8000,12569
209,8046,12607
210,8093,12645
211,8140,12683
212,8182,12721
213,8237,12759
214,8287,12798
215,8311,12817
216,8371,12837
217,8428,12857
218,8466,12877
219,8502,12896
220,8528,12916
221,8574,12936
222,8607,12956
223,8629,12976
224,8673,13014
225,8716,13052
226,8771,13090
227,8809,13128
228,8851,13166
229,8849,13204
230,8889,13237
231,8951,13270
232,8984,13303
233,9055,13336
234,9121,13369
235,9147,13402
236,9175,13435
237,9212,13468
238,9240,13501
239,9299,13534
240,9340,13567
241,9407,13600
242,9457,13633
243,9473,13666
244,9523,13699
245,9591,13732
246,9640,13765
247,9666,13798
248,9697,13831
249,9737,13864
250,9795,13902
251,9823,13940
252,9856,13978
253,9907,14017
254,9933,14055
255,9968,14093
256,9998,14131
257,10030,14170
258,10093,14245
259,10124,14320
260,10178,14396
261,10182,14471
262,10210,14546
263,10228,14622
264,10266,14678
265,10322,14734
266,10375,14790
267,10404,14846
268,10421,14903
269,10466,14959
270,10465,15015
271,10504,15071
272,10531,15128
273,10572,15168
274,10595,15208
275,10617,15248
276,10631,15289
277,10652,15329
278,10685,15369
279,10714,15410
280,10776,15504
281,10858,15599
282,10898,15693
283,10951,15788
284,10990,15883
285,11032,15914
286,11103,15945
287,11156,15976
288,11164,16007
289,11206,16038
290,11225,16069
291,11206,16100
292,11250,16132
293,11284,16163
294,11300,16194
295,11339,16225
296,11395,16256
297,11406,16287
298,11433,16318
299,11451,16350
300,11494,16413
301,11551,16476
302,11588,16540
303,11614,16603
304,11634,16666
305,11644,16730
306,11669,16793
307,11705,16857
308,11752,16921
309,11814,16985
310,11860,17049
311,11884,17113
312,11942,17177
313,11977,17255
314,12009,17333
315,12061,17411
316,12122,17490
317,12150,17568
318,12200,17646
319,12226,17725
320,12250,17748
321,12290,17771
322,12323,17795
323,12326,17818
324,12380,17841
325,12414,17865
326,12436,17888
327,12473,17911
328,12509,17935
329,12521,17958
330,12567,17981
331,12588,18005
332,12635,18028
333,12666,18052
334,12676,18084
335,12669,18117
336,12705,18150
337,12741,18182
338,12794,18215
339,12847,18248
340,12877,18281
341,12919,18313
342,12946,18346
343,12975,18379
344,12992,18411
345,13007,18444
346,13029,18477
347,13097,18510
348,13134,18510
349,13133,18510
350,13173,18510
351,13224,18510
352,13263,18510
353,13272,18510
354,13302,18510
355,13346,18367
356,13374,18224
357,13406,18082
358,13452,17939
359,13469,17797
360,13475,17654
361,13526,17512
362,13537,17521
363,13531,17531
364,13564,17540
365,13597,17550
366,13611,17559
367,13651,17569
368,13656,17578
369,13710,17588
370,13762,17597
371,13807,17607
372,13836,17616
373,13871,17626
374,13946,17635
375,14002,17645
376,14027,17654
377,14070,17664
378,14125,17673
379,14153,17683
380,14222,17692
381,14249,17702
382,14265,17712
383,14279,17754
384,14301,17796
385,14330,17838
386,14355,17880
387,14374,17922
388,14400,17964
389,14449,18007
390,14498,18041
391,14554,18076
392,14549,18110
393,14562,18145
394,14577,18180
395,14614,18214
