Time,Nakivale,
0,0,0
1,0,186
2,0,373
3,1,560
4,2,747
5,3,934
6,4,1120
7,9,1307
8,19,1494
9,21,1681
10,27,1868
11,30,2055
12,38,2241
13,43,2428
14,47,2615
15,59,2802
16,66,2989
17,87,3175
18,101,3362
19,117,3549
20,131,3736
21,147,3923
22,162,4110
23,178,4296
24,200,4483
25,220,4670
26,242,4857
27,262,5044
28,290,5230
29,322,5417
30,346,5604
31,366,5791
32,389,5978
33,415,6165
34,440,6351
35,462,6538
36,489,6725
37,528,6912
38,551,7099
39,576,7285
40,607,7472
41,643,7659
42,682,7846
43,714,8033
44,759,8220
45,802,8304
46,840,8389
47,870,8474
48,915,8559
49,962,8627
50,1000,8695
51,1033,8764
52,1064,8832
53,1110,8901
54,1147,8969
55,1174,9038
56,1227,9070
57,1266,9103
58,1311,9135
59,1356,9168
60,1389,9201
61,1429,9232
62,1469,9264
63,1518,9296
64,1567,9328
65,1615,9360
66,1667,9392
67,1716,9424
68,1749,9456
69,1812,9488
70,1982,9555
71,2045,9623
72,2130,9691
73,2217,9759
74,2304,9827
75,2410,9895
76,2522,9963
77,2597,10030
78,2677,10098
79,2765,10166
80,2839,10234
81,2911,10302
82,3031,10370
83,3156,10438
84,3239,10444
85,3334,10450
86,3419,10456
87,3551,10462
88,3676,10468
89,3776,10474
90,3886,10480
91,3971,10489
92,4074,10498
93,4228,10507
94,4372,10516
95,4457,10525
96,4558,10535
97,4689,10527
98,4807,10519
99,4921,10511
100,5044,10504
101,5137,10496
102,5231,10488
103,5353,10481
104,5452,10473
105,5538,10465
106,5624,10458
107,5720,10450
108,5825,10442
109,5909,10435
110,6016,10432
111,6101,10430
112,6210,10428
113,6326,10426
114,6435,10424
115,6512,10422
116,6647,10420
117,6723,10441
118,6826,10462
119,6930,10483
120,7007,10504
121,7087,10525
122,7178,10546
123,7252,10567
124,7347,10588
125,7421,10610
126,7508,10618
127,7581,10626
128,7642,10634
129,7700,10642
130,7783,10650
131,7858,10658
132,7919,10666
133,8004,10674
134,8075,10682
135,8153,10690
136,8211,10698
137,8279,10706
138,8342,10734
139,8397,10763
140,8467,10792
141,8525,10820
142,8569,10849
143,8610,10878
144,8669,10907
145,8727,10929
146,8765,10952
147,8814,10974
148,8863,10997
149,8915,11019
150,8992,11042
151,9043,11064
152,9106,11087
153,9276,11110
154,9339,11149
155,9406,11189
156,9454,11229
157,9553,11269
158,9604,11309
159,9681,11325
160,9755,11342
161,9857,11359
162,9935,11376
163,10026,11393
164,10123,11410
165,10200,11427
166,10267,11456
167,10329,11486
168,10385,11516
169,10451,11546
170,10528,11576
171,10599,11606
172,10667,11636
173,10725,11665
174,10781,11695
175,10843,11725
176,10913,11755
177,10977,11785
178,11027,11815
179,11102,11845
180,11234,11851
181,11351,11858
182,11495,11864
183,11641,11871
184,11736,11877
185,11798,11884
186,11855,11891
187,11935,11913
188,11986,11936
189,12050,11959
190,12109,11982
191,12174,12005
192,12266,12028
193,12358,12051
194,12425,12081
195,12493,12112
196,12555,12142
197,12621,12173
198,12694,12203
199,12772,12234
200,12830,12265
201,12894,12303
202,12958,12341
203,13007,12379
204,13069,12417
205,13125,12455
206,13182,12493
207,13253,12531
208,13309,12569
209,13392,12607
210,13443,12645
211,13487,12683
212,13537,12721
213,13579,12759
214,13662,12798
215,13724,12817
216,13778,12837
217,13847,12857
218,13907,12877
219,13992,12896
220,14035,12916
221,14092,12936
222,14137,12956
223,14199,12976
224,14316,13014
225,14363,13052
226,14417,13090
227,14476,13128
228,14547,13166
229,14609,13204
230,14687,13237
231,14720,13270
232,14770,13303
233,14826,13336
234,14888,13369
235,14954,13402
236,15007,13435
237,15089,13468
238,15130,13501
239,15173,13534
240,15221,13567
241,15277,13600
242,15327,13633
243,15374,13666
244,15419,13699
245,15471,13732
246,15522,13765
247,15570,13798
248,15615,13831
249,15669,13864
250,15720,13902
251,15770,13940
252,15812,13978
253,15864,14017
254,15901,14055
255,15940,14093
256,15991,14131
257,16049,14170
258,16102,14245
259,16150,14320
260,16211,14396
261,16244,14471
262,16293,14546
263,16352,14622
264,16409,14678
265,16458,14734
266,16512,14790
267,16553,14846
268,16594,14903
269,16645,14959
270,16682,15015
271,16706,15071
272,16755,15128
273,16800,15168
274,16846,15208
275,16883,15248
276,16920,15289
277,16961,15329
278,17011,15369
279,17058,15410
280,17124,15504
281,17171,15599
282,17204,15693
283,17245,15788
284,17285,15883
285,17319,15914
286,17359,15945
287,17390,15976
288,17430,16007
289,17457,16038
290,17503,16069
291,17545,16100
292,17670,16132
293,17715,16163
294,17777,16194
295,17813,16225
296,17862,16256
297,17935,16287
298,17991,16318
299,18045,16350
300,18086,16413
301,18125,16476
302,18166,16540
303,18213,16603
304,18259,16666
305,18292,16730
306,18347,16793
307,18385,16857
308,18403,16921
309,18446,16985
310,18477,17049
311,18509,17113
312,18548,17177
313,18595,17255
314,18640,17333
315,18681,17411
316,18710,17490
317,18746,17568
318,18782,17646
319,18832,17725
320,18865,17748
321,18895,17771
322,18936,17795
323,18964,17818
324,19005,17841
325,19054,17865
326,19084,17888
327,19132,17911
328,19163,17935
329,19197,17958
330,19234,17981
331,19252,18005
332,19290,18028
333,19323,18052
334,19385,18084
335,19437,18117
336,19464,18150
337,19501,18182
338,19526,18215
339,19580,18248
340,19619,18281
341,19644,18313
342,19670,18346
343,19700,18379
344,19739,18411
345,19765,18444
346,19791,18477
347,19831,18510
348,19868,18510
349,19908,18510
350,19948,18510
351,19975,18510
352,20010,18510
353,20040,18510
354,20125,18510
355,20148,18367
356,20178,18224
357,20205,18082
358,20241,17939
359,20289,17797
360,20338,17654
361,20369,17512
362,20415,17521
363,20464,17531
364,20505,17540
365,20552,17550
366,20581,17559
367,20604,17569
368,20642,17578
369,20661,17588
370,20674,17597
371,20693,17607
372,20700,17616
373,20710,17626
374,20738,17635
375,20764,17645
376,20776,17654
377,20795,17664
378,20833,17673
379,20853,17683
380,20878,17692
381,20904,17702
382,20931,17712
383,20974,17754
384,21002,17796
385,21038,17838
386,21066,17880
387,21081,17922
388,21117,17964
389,21152,18007
390,21194,18041
391,21237,18076
392,21262,18110
393,21283,18145
394,21304,18180
395,21333,18214
