Time,East,
0,0,0
1,0,36
2,0,72
3,27,108
4,78,145
5,183,181
6,297,217
7,429,253
8,569,290
9,704,326
10,846,362
11,988,398
12,1134,435
13,1279,471
14,1438,507
15,1586,544
16,1706,580
17,1857,616
18,2057,652
19,2402,689
20,2813,725
21,3220,761
22,3678,797
23,4115,834
24,4602,870
25,5039,906
26,5496,943
27,5927,979
28,6353,1015
29,6755,1051
30,7111,1088
31,7527,1124
32,8023,1160
33,8483,1196
34,8985,1233
35,9458,1269
36,9906,1305
37,10359,1342
38,10835,1378
39,11275,1414
40,11679,1450
41,12039,1487
42,12440,1523
43,12833,1559
44,13215,1595
45,13563,1632
46,13874,1668
47,14210,1704
48,14551,1741
49,14900,1777
50,15234,1813
51,15575,1849
52,15922,1886
53,16217,1922
54,16520,1958
55,16858,1994
56,17174,2031
57,17467,2067
58,17744,2103
59,18039,2139
60,18303,2176
61,18584,2212
62,18866,2248
63,19148,2285
64,19413,2321
65,19691,2357
66,19947,2393
67,20237,2430
68,20467,2466
69,20723,2502
70,20980,2538
71,21217,2575
72,21436,2611
73,21667,2647
74,21894,2684
75,22117,2720
76,22361,2756
77,22594,2792
78,22836,2829
79,23061,2865
80,23295,2901
81,23484,2937
82,23669,2974
83,23881,3010
84,24072,3046
85,24277,3083
86,24471,3119
87,24712,3155
88,24932,3191
89,25136,3228
90,25335,3264
91,25530,3300
92,25749,3336
93,25985,3373
94,26185,3409
95,26364,3445
96,26548,3482
97,26759,3518
98,26970,3554
99,27145,3590
100,27305,3627
101,27485,3663
102,27678,3699
103,27847,3735
104,28012,3772
105,28200,3808
106,28370,3844
107,28533,3881
108,28698,11602
109,28885,11712
110,29085,11823
111,29333,11933
112,29563,12044
113,29789,12155
114,30020,12265
115,30226,12376
116,30450,12487
117,30661,12597
118,30859,12708
119,31066,12819
120,31273,12929
121,31471,13040
122,31658,13151
123,31863,13261
124,32066,13372
125,32272,13483
126,32453,13483
127,32653,13483
128,32869,13483
129,33061,13483
130,33243,13483
131,33447,13483
132,33641,13483
133,33843,13483
134,34067,13483
135,34253,13721
136,34402,13960
137,34577,14199
138,34740,14438
139,34931,14677
140,35103,14916
141,35266,15155
142,35436,15394
143,35600,15633
144,35766,15872
145,35971,16111
146,36166,16338
147,36372,16566
148,36572,16794
149,36767,17022
150,36988,17249
151,37199,17477
152,37354,17705
153,37566,17933
154,37755,18161
155,37938,18388
156,38096,18616
157,38263,18844
158,38411,19072
159,38577,19299
160,38727,19527
161,38888,19755
162,39040,19983
163,39229,20211
164,39410,20438
165,39562,20666
166,39717,20894
167,39879,21122
168,40043,21349
169,40181,21577
170,40321,21805
171,40492,22033
172,40610,22261
173,40746,22488
174,40897,22716
175,41051,22944
176,41187,23172
177,41319,23399
178,41466,23627
179,41612,23855
180,41739,24083
181,41845,24311
182,41985,24538
183,42127,24766
184,42245,24994
185,42377,25222
186,42486,25449
187,42622,25677
188,42763,25905
189,42888,26133
190,43030,26361
191,43151,26588
192,43309,26816
193,43446,27044
194,43584,27272
195,43711,27499
196,43837,27727
197,43955,27955
198,44095,28183
199,44235,28411
200,44353,28638
201,44455,28866
202,44614,29094
203,44745,29322
204,44869,29549
205,44979,29777
206,45108,30005
207,45274,30233
208,45455,30461
209,45659,30841
210,45869,31221
211,46117,31601
212,46344,31981
213,46567,32361
214,46788,32741
215,47028,33121
216,47240,33501
217,47459,33881
218,47657,34261
219,47853,34641
220,48034,35021
221,48220,35401
222,48446,35781
223,48656,36161
224,48820,36541
225,49005,36921
226,49181,37301
227,49337,37681
228,49489,38061
229,49667,38441
230,49815,38821
231,50001,39201
232,50157,39581
233,50321,39961
234,50512,40341
235,50800,40721
236,51110,41101
237,51490,41481
238,51983,41862
239,52551,42043
240,53142,42224
241,53793,42405
242,54386,42586
243,55005,42767
244,55655,42948
245,56220,43130
246,56781,43149
247,57346,43168
248,57883,43187
249,58441,43206
250,58951,43225
251,59492,43244
252,59966,43264
253,60459,43359
254,60958,43455
255,61445,43551
256,61950,43646
257,62437,43742
258,62930,43838
259,63382,43934
260,63820,43972
261,64254,44010
262,64654,44049
263,65083,44087
264,65522,44126
265,65963,44164
266,66400,44203
267,66834,44277
268,67235,44352
269,67677,44426
270,68089,44501
271,68476,44575
272,68869,44650
273,69292,44725
274,69663,44738
275,70048,44752
276,70421,44765
277,70813,44779
278,71225,44792
279,71648,44806
280,72061,44819
281,72421,44833
282,72748,44846
283,73144,44860
284,73531,44873
285,73925,44887
286,74270,44900
287,74615,44914
288,74949,44927
289,75304,44941
290,75654,44954
291,76021,44968
292,76397,44981
293,76759,44995
294,77114,45009
295,77456,44786
296,77815,44563
297,78190,44341
298,78506,44118
299,78863,43896
300,79168,43673
301,79466,43451
302,79776,43512
303,80110,43574
304,80394,43636
305,80715,43697
306,81010,43759
307,81345,43821
308,81657,43883
309,81949,47030
310,82234,50177
311,82538,53325
312,82823,56472
313,83102,59620
314,83399,62767
315,83722,65915
316,84000,69062
317,84286,72209
318,84598,75357
319,84970,78504
320,85336,81652
321,85773,84799
322,86282,87947
323,86759,88237
324,87274,88527
325,87818,88817
326,88347,89107
327,88884,89397
328,89358,89687
329,89845,89977
330,90338,90267
331,90804,90557
332,91266,90847
333,91754,91137
334,92205,91428
335,92629,91472
336,93083,91516
337,93552,91560
338,94038,91604
339,94455,91648
340,94901,91692
341,95342,91737
342,95796,91768
343,96260,91800
344,96733,91832
345,97145,91863
346,97568,91895
347,97969,91927
348,98373,91958
349,98805,91990
350,99199,92022
351,99622,91985
352,100056,91949
353,100438,91913
354,100816,91877
355,101233,91841
356,101604,91805
357,101993,91769
358,102406,91792
359,102827,91816
360,103199,91839
361,103598,91863
362,103969,91886
363,104347,91910
364,104718,91933
365,105082,91957
366,105447,91980
367,105779,92004
368,106140,92027
369,106482,92051
370,106858,92074
371,107214,92098
372,107601,92096
373,107982,92094
374,108355,92092
375,108735,92090
376,109090,92088
377,109507,92086
378,109859,92084
379,110209,92084
380,110548,92084
381,110885,92084
382,111211,92084
383,111544,92084
384,111890,92084
385,112196,92084
386,112561,92084
387,112874,92084
388,113176,92084
389,113529,92084
390,113842,92084
391,114178,92084
392,114497,92084
393,114807,92084
394,115096,92084
395,115384,92084
396,115710,92084
397,115995,92084
398,116323,92084
399,116598,92084
400,116887,92084
401,117179,92084
402,117477,92084
403,117782,92084
404,118055,92084
405,118366,92084
406,118656,92084
407,118931,92218
408,119233,92352
409,119497,92486
410,119785,92620
411,120088,92754
412,120308,92888
413,120547,93022
414,120864,93156
415,121127,93290
416,121361,93424
417,121635,93558
418,121887,93692
419,122173,93826
420,122414,93960
421,122652,94094
422,122913,94228
423,123140,94362
424,123367,94496
425,123598,94630
426,123828,94765
427,124084,94810
428,124366,94855
429,124613,94900
430,124826,94946
431,125062,94991
432,125305,95036
433,125563,95081
434,125774,95127
435,126010,95172
436,126254,95217
437,126494,95262
438,126754,95308
439,127029,95353
440,127280,95398
441,127499,95444
442,127672,95451
443,127891,95459
444,128113,95467
445,128323,95475
446,128536,95483
447,128768,95491
448,128982,95499
449,129229,95506
450,129449,95514
451,129701,95522
452,129919,95530
453,130127,95538
454,130337,95546
455,130579,95554
456,130768,96915
457,130992,98276
458,131206,99637
459,131438,100998
460,131637,102359
461,131869,103720
462,132082,105081
463,132267,106442
464,132450,107803
465,132664,109164
466,132914,110525
467,133079,111886
468,133276,113247
469,133461,114608
470,133661,115969
471,133872,117330
472,134058,118691
473,134270,120052
474,134495,121413
475,134676,122774
476,134866,124135
477,135071,125496
478,135264,126857
479,135432,128218
480,135635,129579
481,135831,130940
482,135977,132301
483,136151,133662
484,136322,135023
485,136494,136384
486,136670,137745
487,136840,139106
488,137073,140467
489,137330,141828
490,137707,143189
491,138153,144550
492,138575,145911
493,139121,147272
494,139712,148633
495,140299,149994
496,140866,151355
497,141546,152717
498,142287,152802
499,143090,152888
500,143868,152974
501,144604,153060
502,145361,153146
503,146127,153231
504,146844,153317
505,147559,153403
506,148254,153489
507,148952,153575
508,149666,153660
509,150305,153746
510,151035,153832
511,151728,153918
512,152437,154004
513,153114,154089
514,153797,154175
515,154505,154261
516,155145,154347
517,155847,154433
518,156523,154519
519,157166,154555
520,157825,154592
521,158425,154628
522,159036,154665
523,159727,154701
524,160333,154738
525,160914,154775
526,161549,154811
527,162108,154848
528,162714,154884
529,163301,154921
530,163874,154957
531,164471,154994
532,165054,155031
533,165625,155067
534,166118,155104
535,166687,155140
536,167232,155177
537,167781,155213
538,168314,155250
539,168841,155287
540,169400,155323
541,169913,155360
542,170431,155396
543,170974,155433
544,171577,155469
545,172051,155506
546,172546,155543
547,173085,155851
548,173628,156160
549,174165,156468
550,174711,156777
551,175166,157085
552,175631,157394
553,176130,157702
554,176592,158011
555,177090,158319
556,177546,158628
557,178009,158936
558,178437,159245
559,178919,159554
560,179362,159577
561,179853,159601
562,180348,159625
563,180689,159648
564,180512,159672
565,180630,159696
566,180499,159720
567,180659,159743
568,180497,159767
569,180651,159791
570,180506,159815
571,180650,159838
572,180503,159862
573,180637,159886
574,180509,159910
575,180647,159953
576,180496,159997
577,180657,160040
578,180500,160084
579,180644,160127
580,180496,160171
581,180662,160215
582,180486,161168
583,180663,162121
584,180493,163074
585,180662,162914
586,180505,162754
587,180648,162595
588,180490,162435
589,180671,162275
590,180494,162116
591,180647,161956
592,180506,161796
593,180660,161637
594,180487,161477
595,180667,161317
596,180493,161158
597,180659,160998
598,180485,160839
599,180655,160873
600,180498,160907
601,180641,160941
602,180515,160975
603,180633,161009
604,180524,161043
605,180624,161077
606,180522,161111
607,180612,161145
608,180544,162040
609,180597,162936
610,180549,162987
611,180621,163039
612,180540,163090
613,180612,163142
614,180520,163194
615,180629,163245
616,180525,163297
617,180627,163348
618,180522,163400
619,180625,163452
620,180526,163503
621,180630,163555
622,180507,163606
623,180630,163658
624,180523,163710
625,180639,163870
626,180522,164031
627,180616,164191
628,180533,164352
629,180603,164512
630,180528,164673
631,180628,164833
632,180517,164994
633,180641,165154
634,180496,165315
635,180664,165475
636,180490,165636
637,180672,165797
638,180497,165855
639,180659,165914
640,180510,165972
641,180651,166031
642,180514,166089
643,180660,166148
644,180495,166206
645,180661,166265
646,180487,166247
647,180666,166230
648,180486,166213
649,180664,166196
650,180491,166179
651,180690,166162
652,180526,166144
653,180644,166127
654,180490,166110
655,180652,166093
656,180501,166076
657,180621,166059
658,180540,166042
659,180599,166058
660,180573,166074
661,180578,166091
662,180549,166107
663,180608,166124
664,180546,166140
665,180637,166157
666,180524,166173
667,180601,166189
668,180533,166206
669,180619,166222
670,180540,166239
671,180642,166255
672,180509,166272
673,180628,166288
674,180492,166305
675,180654,166321
676,180489,166337
677,180672,166354
678,180504,166370
679,180629,166387
680,180523,166403
681,180615,166420
682,180560,166436
683,180588,166453
684,180560,166788
685,180583,167124
686,180559,167460
687,180603,167796
688,180560,168132
689,180602,168468
690,180557,168804
691,180577,169140
692,180561,169476
693,180603,169812
694,180536,169986
695,180614,170161
696,180528,170336
697,180606,170510
698,180547,170685
699,180609,170860
700,180525,171034
701,180620,171209
702,180528,171384
703,180624,171384
704,180515,171384
705,180644,171384
706,180495,171384
707,180658,171384
708,180490,171384
709,180666,171384
710,180491,171384
711,180637,171384
712,180512,171384
713,180649,171384
714,180489,171384
715,180651,171384
716,180503,171384
717,180626,171384
718,180541,171384
719,180608,171384
720,180543,171384
721,180603,171384
722,180528,171384
723,180638,171384
724,180524,171384
725,180602,171470
726,180555,171557
727,180601,171644
728,180541,171731
729,180607,171736
730,180549,171742
731,180580,171747
732,180575,171753
733,180563,171954
734,180596,172155
735,180565,172357
736,180558,172558
737,180581,172760
738,180568,172961
739,180579,173163
740,180589,173364
741,180581,173565
742,180566,173767
743,180597,173968
744,180564,174170
745,180577,174371
746,180563,174573
747,180559,174774
748,180574,174975
749,180581,175177
750,180573,175378
751,180587,175580
752,180565,175781
753,180581,175983
754,180570,176184
755,180564,176385
756,180582,176587
757,180563,176788
758,180597,176990
759,180538,177191
760,180633,177393
761,180503,177407
762,180630,177422
763,180553,177437
764,180572,177452
765,180595,177467
766,180545,177482
767,180600,177497
768,180549,177512
769,180594,177527
770,180558,177542
771,180580,177557
772,180564,177572
773,180594,177587
774,180566,177602
775,180590,177617
776,180561,177632
777,180593,177647
778,180554,177662
779,180591,177677
780,180556,177692
781,180587,177707
782,180554,177746
783,180576,177786
784,180546,177826
785,180634,177865
786,180504,177905
787,180635,177945
788,180526,177985
789,180634,178024
790,180534,178064
791,180593,178104
792,180575,178143
793,180587,178183
794,180568,178223
795,180599,178263
796,180570,178302
797,180584,178342
798,180563,178382
799,180563,178421
800,180580,178461
801,180559,178501
802,180597,178541
803,180548,178580
804,180604,178620
805,180552,178660
806,180586,178699
807,180571,178739
808,180578,178779
809,180553,178819
810,180611,178858
811,180560,178898
812,180582,178938
813,180577,178977
814,180585,179017
815,180584,179057
816,180542,179097
817,180626,179136
818,180504,179176
819,180655,179216
