Time,Inke,
0,0,0
1,0,2894
2,0,5788
3,0,8683
4,0,8711
5,0,8739
6,0,8767
7,0,8796
8,0,8824
9,0,8852
10,0,8881
11,0,8909
12,0,8937
13,0,8965
14,0,8994
15,0,9022
16,0,9050
17,0,9079
18,0,9107
19,0,9135
20,0,9164
21,1,9192
22,2,9220
23,2,9248
24,2,9277
25,3,9305
26,3,9333
27,3,9362
28,4,9390
29,4,9418
30,6,9447
31,7,9475
32,7,9503
33,8,9531
34,8,9560
35,9,9588
36,10,9616
37,10,9645
38,13,9673
39,13,9701
40,13,9729
41,17,9758
42,22,9786
43,22,9814
44,22,9843
45,23,9871
46,25,9899
47,28,9928
48,30,9956
49,33,9984
50,34,10012
51,38,10041
52,40,10069
53,41,10097
54,44,10126
55,49,10154
56,50,10182
57,52,10211
58,52,10239
59,53,10267
60,55,10295
61,58,10324
62,61,10352
63,61,10380
64,62,10409
65,64,10437
66,65,10465
67,70,10494
68,76,10557
69,79,10620
70,84,10683
71,88,10747
72,89,10810
73,91,10873
74,94,10937
75,95,11000
76,101,11063
77,111,11127
78,113,11190
79,116,11253
80,119,11317
81,122,11300
82,129,11283
83,132,11266
84,137,11249
85,142,11232
86,146,11215
87,148,11198
88,151,11181
89,154,11164
90,155,11147
91,157,11130
92,160,11113
93,165,11096
94,165,11079
95,169,11062
96,176,11045
97,181,11028
98,183,11011
99,187,10994
100,194,10977
101,200,10960
102,203,10943
103,208,10926
104,213,10909
105,217,10892
106,220,10875
107,224,10858
108,226,10841
109,232,10824
110,234,10807
111,239,10790
112,242,10773
113,250,10756
114,253,10739
115,257,10722
116,263,10705
117,268,10688
118,275,10671
119,282,10654
120,287,10637
121,295,10620
122,298,10603
123,302,10586
124,306,10569
125,316,10552
126,319,10535
127,328,10518
128,332,10501
129,334,10484
130,337,10467
131,341,10450
132,350,10433
133,354,10416
134,358,10399
135,365,10382
136,373,10365
137,376,10348
138,381,10331
139,388,10314
140,394,10297
141,398,10280
142,406,10263
143,412,10246
144,411,10229
145,423,10212
146,430,10196
147,433,10179
148,436,10162
149,440,10145
150,446,10128
151,449,10111
152,451,10094
153,451,10077
154,460,10060
155,462,10043
156,468,10026
157,475,10009
158,477,9992
159,483,9975
160,488,9958
161,490,9941
162,492,9924
163,495,9907
164,501,9890
165,505,9873
166,509,9856
167,519,9839
168,527,9822
169,532,9805
170,536,9788
171,541,9771
172,546,9754
173,552,9737
174,559,9720
175,561,9703
176,563,9686
177,571,9669
178,578,9652
179,584,9635
180,592,9618
181,594,9601
182,605,9584
183,609,9567
184,609,9550
185,614,9533
186,622,9516
187,630,9499
188,638,9482
189,642,9465
190,646,9448
191,652,9431
192,663,9414
193,669,9397
194,671,9380
195,680,9363
196,685,9346
197,690,9329
198,696,9312
199,701,9295
200,707,9278
201,710,9261
202,714,9244
203,723,9227
204,728,9210
205,730,9193
206,738,9176
207,745,9159
208,749,9142
209,754,9125
210,762,9108
211,764,9092
212,769,9155
213,771,9219
214,776,9283
215,781,9347
216,788,9411
217,794,9475
218,798,9539
219,804,9603
220,809,9667
221,815,9731
222,821,9795
223,833,9859
224,845,9923
225,856,9987
226,863,10051
227,867,10114
228,874,10178
229,882,10242
230,886,10306
231,891,10370
232,895,10434
233,903,10498
234,914,10562
235,922,10626
236,926,10690
237,925,10754
238,931,10818
239,939,10882
240,941,10946
241,951,11010
242,955,11074
243,961,11075
244,967,11076
245,970,11077
246,975,11079
247,981,11080
248,990,11081
249,995,11083
250,1001,11084
251,1005,11085
252,1012,11087
253,1017,11088
254,1025,11089
255,1029,11090
256,1034,11092
257,1040,11093
258,1046,11094
259,1049,11096
260,1053,11097
261,1058,11098
262,1059,11100
263,1069,11101
264,1076,11102
265,1090,11103
266,1094,11105
267,1102,11106
268,1110,11107
269,1118,11109
270,1125,11110
271,1124,11111
272,1135,11113
273,1144,11122
274,1151,11132
275,1161,11142
276,1174,11152
277,1178,11162
278,1187,11172
279,1197,11182
280,1205,11192
281,1204,11201
282,1204,11211
283,1211,11221
284,1217,11231
285,1226,11241
286,1231,11251
287,1237,11261
288,1241,11271
289,1246,11281
290,1254,11290
291,1258,11300
292,1267,11310
293,1275,11320
294,1286,11330
295,1294,11340
296,1306,11350
297,1319,11360
298,1330,11370
299,1335,11379
300,1348,11389
301,1359,11399
302,1363,11409
303,1375,11419
304,1384,11429
305,1391,11439
306,1398,11449
307,1407,11459
308,1416,11468
309,1424,11478
310,1431,11488
311,1441,11498
312,1447,11508
313,1457,11518
314,1472,11528
315,1478,11538
316,1482,11548
317,1492,11557
318,1495,11567
319,1503,11577
320,1514,11587
321,1526,11597
322,1538,11607
323,1546,11617
324,1557,11627
325,1569,11637
326,1574,11646
327,1583,11656
328,1593,11666
329,1601,11676
330,1610,11686
331,1625,11696
332,1635,11706
333,1644,11716
334,1650,11726
335,1655,11726
336,1667,11726
337,1675,11726
338,1693,11726
339,1704,11726
340,1707,11726
341,1718,11726
342,1730,11726
343,1738,11726
344,1752,11726
345,1765,11726
346,1776,11726
347,1781,11726
348,1788,11726
349,1798,11726
350,1812,11726
351,1818,11726
352,1822,11726
353,1835,11726
354,1842,11726
355,1848,11726
356,1861,11726
357,1871,11726
358,1879,11726
359,1889,11726
360,1901,11726
361,1910,11726
362,1919,11726
363,1932,11726
364,1940,11726
365,1950,11726
366,1962,11726
367,1970,11726
368,1977,11726
369,1983,11726
370,1993,11726
371,2007,11726
372,2018,11726
373,2023,11726
374,2032,11726
375,2041,11726
376,2058,11726
377,2072,11742
378,2085,11758
379,2098,11774
380,2110,11791
381,2119,11807
382,2138,11823
383,2149,11840
384,2162,11856
385,2168,11872
386,2182,11888
387,2186,11905
388,2197,11921
389,2207,11937
390,2216,11954
391,2220,11970
392,2230,11986
393,2240,12002
394,2250,12019
395,2253,12035
396,2264,12051
397,2269,12068
398,2281,12084
399,2292,12100
400,2302,12116
401,2311,12133
402,2330,12149
403,2339,12165
404,2352,12182
405,2364,12198
406,2373,12214
407,2391,12230
408,2406,12247
409,2417,12263
410,2428,12279
411,2436,12296
412,2450,12312
413,2464,12328
414,2471,12344
415,2482,12361
416,2493,12377
417,2502,12393
418,2512,12410
419,2520,12426
420,2529,12442
421,2539,12458
422,2548,12475
423,2561,12491
424,2574,12507
425,2588,12524
426,2595,12540
427,2605,12556
428,2619,12572
429,2629,12589
430,2646,12605
431,2655,12621
432,2664,12638
433,2676,12654
434,2691,12670
435,2701,12686
436,2707,12703
437,2719,12719
438,2721,12735
439,2727,12752
440,2734,12768
441,2742,12784
442,2751,12800
443,2765,12817
444,2774,12833
445,2783,12849
446,2801,12866
447,2813,12897
448,2822,12928
449,2829,12959
450,2834,12991
451,2848,13022
452,2867,13053
453,2874,13084
454,2887,13116
455,2902,13147
456,2904,13178
457,2922,13210
458,2933,13241
459,2946,13272
460,2956,13303
461,2968,13335
462,2982,13366
463,3001,13397
464,3014,13429
465,3023,13460
466,3038,13491
467,3040,13522
468,3043,13554
469,3059,13585
470,3070,13616
471,3079,13648
472,3086,13695
473,3097,13742
474,3106,13790
475,3113,13837
476,3128,13884
477,3144,13932
478,3148,13979
479,3157,14027
480,3168,14074
481,3180,14121
482,3189,14169
483,3201,14216
484,3213,14264
485,3223,14311
486,3238,14358
487,3249,14406
488,3260,14453
489,3264,14501
490,3281,14548
491,3295,14595
492,3302,14643
493,3320,14690
494,3330,14737
495,3345,14785
496,3360,14832
497,3371,14880
498,3381,14927
499,3392,14974
500,3403,15022
501,3414,15069
502,3423,15117
503,3433,15164
504,3456,15211
505,3465,15259
506,3470,15306
507,3477,15354
508,3491,15401
509,3504,15448
510,3526,15496
511,3536,15543
512,3552,15591
513,3558,15660
514,3566,15730
515,3574,15800
516,3587,15870
517,3600,15940
518,3611,16009
519,3617,16079
520,3631,16149
521,3642,16219
522,3653,16289
523,3665,16359
524,3682,16428
525,3696,16498
526,3711,16568
527,3727,16638
528,3736,16708
529,3748,16778
530,3769,16847
531,3778,16917
532,3786,16987
533,3802,17057
534,3806,17127
535,3818,17197
536,3835,17207
537,3854,17218
538,3879,17229
539,3889,17240
540,3904,17250
541,3925,17261
542,3943,17272
543,3954,17283
544,3970,17294
545,3990,17304
546,4010,17315
547,4019,17326
548,4033,17337
549,4050,17348
550,4059,17358
551,4065,17369
552,4076,17380
553,4091,17391
554,4110,17401
555,4122,17412
556,4134,17423
557,4141,17434
558,4153,17445
559,4169,17455
560,4173,17466
561,4185,17477
562,4200,17488
563,4212,17499
564,4223,17509
565,4239,17520
566,4248,17531
567,4257,17542
568,4276,17552
569,4291,17563
570,4309,17574
571,4325,17585
572,4335,17596
573,4351,17606
574,4369,17617
575,4380,17628
576,4396,17639
577,4410,17650
578,4417,17660
579,4429,17671
580,4443,17682
581,4465,17693
582,4484,17703
583,4496,17714
584,4517,17725
585,4535,17736
586,4553,17747
587,4564,17757
588,4581,17768
589,4592,17779
590,4601,17790
591,4617,17801
592,4631,17811
593,4634,17822
594,4647,17833
595,4662,17844
596,4677,17854
597,4698,17865
598,4711,17876
599,4718,17887
600,4735,17898
601,4752,17908
602,4765,17919
603,4785,17930
604,4801,17941
605,4813,17952
606,4827,17962
607,4843,17973
608,4852,17984
609,4865,17995
610,4881,18005
611,4896,18016
612,4913,18027
613,4927,18038
614,4935,18049
615,4952,18059
616,4966,18070
617,4967,18081
618,4981,18092
619,4982,18103
620,4990,18113
621,5004,18124
622,5020,18135
623,5027,18146
624,5047,18156
625,5056,18167
626,5068,18178
627,5082,18189
628,5090,18200
629,5110,18210
630,5121,18221
631,5140,18232
632,5152,18243
633,5163,18254
634,5174,18264
635,5179,18275
636,5189,18286
637,5203,18297
638,5221,18308
639,5232,18320
640,5241,18333
641,5258,18345
642,5265,18358
643,5272,18371
644,5287,18383
645,5297,18396
646,5310,18408
647,5329,18421
648,5350,18434
649,5364,18446
650,5381,18459
651,5400,18471
652,5413,18484
653,5431,18497
654,5440,18509
655,5453,18522
656,5460,18534
657,5463,18547
658,5471,18560
659,5480,18572
660,5496,18585
661,5515,18597
662,5523,18610
663,5529,18623
664,5541,18635
665,5553,18648
666,5567,18661
667,5580,18673
668,5597,18686
669,5616,18698
670,5631,18711
671,5641,18724
672,5651,18736
673,5665,18749
674,5685,18761
675,5700,18774
676,5717,18787
677,5734,18799
678,5745,18812
679,5758,18824
680,5774,18837
681,5793,18850
682,5807,18862
683,5825,18875
684,5839,18887
685,5858,18900
686,5867,18913
687,5878,18925
688,5892,18938
689,5908,18951
690,5919,18963
691,5936,18976
692,5953,18988
693,5965,19001
694,5986,19014
695,5998,19026
696,6011,19039
697,6030,19051
698,6036,19064
699,6045,19077
700,6070,19089
701,6082,19102
702,6094,19114
703,6105,19127
704,6125,19140
705,6144,19152
706,6160,19165
707,6167,19177
708,6185,19190
709,6200,19203
710,6206,19215
711,6215,19228
712,6227,19240
713,6233,19253
714,6245,19266
715,6256,19278
716,6267,19291
717,6278,19304
718,6293,19316
719,6314,19329
720,6329,19341
721,6351,19354
722,6367,19367
723,6385,19379
724,6399,19392
725,6399,19404
726,6427,19417
727,6442,19430
728,6454,19442
729,6468,19455
730,6485,19467
731,6505,19480
732,6522,19493
733,6528,19505
734,6547,19518
735,6559,19530
736,6572,19543
737,6582,19556
738,6586,19568
739,6601,19581
740,6614,19594
741,6633,19606
742,6651,19619
743,6659,19631
744,6667,19644
745,6676,19657
746,6691,19669
747,6705,19682
748,6720,19694
749,6737,19707
750,6749,19720
751,6760,19732
752,6767,19745
753,6786,19757
754,6808,19770
755,6816,19783
756,6839,19795
757,6847,19808
758,6866,19820
759,6890,19833
760,6906,19846
761,6923,19858
762,6945,19871
763,6968,19883
764,6984,19896
765,6999,19909
766,7018,19921
767,7035,19934
768,7037,19947
769,7054,19959
770,7073,19972
771,7086,19984
772,7094,19997
773,7109,20010
774,7121,20022
775,7135,20035
776,7149,20047
777,7166,20060
778,7184,20073
779,7194,20085
780,7202,20098
781,7210,20110
782,7234,20123
783,7243,20136
784,7259,20148
785,7263,20161
786,7262,20173
787,7283,20186
788,7296,20199
789,7304,20211
790,7318,20224
791,7338,20237
792,7346,20241
793,7363,20245
794,7376,20250
795,7379,20254
796,7394,20259
797,7407,20263
798,7420,20267
799,7426,20272
800,7446,20276
801,7463,20281
802,7473,20285
803,7482,20289
804,7493,20294
805,7503,20298
806,7524,20303
807,7534,20307
808,7553,20312
809,7560,20316
810,7577,20320
811,7587,20325
812,7601,20329
813,7610,20334
814,7624,20338
815,7638,20342
816,7643,20347
817,7656,20351
818,7667,20356
819,7679,20360
